C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_107.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_107.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_107.jpg, 0, 0, 0, 8.188158E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_208.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_208.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_208.jpg, 0, 0, 0, 8.156325E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_314.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_314.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_314.jpg, 0, 0, 0, 8.218442E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_417.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_417.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_417.jpg, 0, 0, 0, 8.246832E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_523.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_523.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_523.jpg, 0, 0, 0, 8.18874E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_629.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_629.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_629.jpg, 0, 0, 0, 8.163972E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_729.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_729.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_729.jpg, 0, 0, 0, 8.148599E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_835.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_835.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_835.jpg, 0, 0, 0, 8.177962E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_48_940.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_48_940.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_48_940.jpg, 0, 0, 0, 8.175497E-05
C:\Users\sarma\Desktop\Data\IMG\center_2018_11_28_23_31_49_047.jpg, C:\Users\sarma\Desktop\Data\IMG\left_2018_11_28_23_31_49_047.jpg, C:\Users\sarma\Desktop\Data\IMG\right_2018_11_28_23_31_49_047.jpg, 0, 0, 0, 8.159375E-05
